Model,MAE,RMSE,MAPE,R2
CatBoost,221121491.596653,2552040360.321849,116.30356974079345,0.2925772425131451
Gradient Boosting,225400585.9802325,2599120218.6823616,111.57220097999034,0.2662355190611886
Random Forest,233591136.5672044,2605253202.8707566,89.42770361706377,0.2627685956694248
Neural Network,1399863452.613096,31714159351.558315,143.23430089235433,-108.24721084360877
Linear Regression,12390818647.062593,269933874780.95984,1382.0763902707029,-7913.413330847299
