Model,MAE,RMSE,MAPE,R2
LightGBM,211674624.70671037,2255013238.887573,112.18643602312007,0.44766553729715397
XGBoost,218150075.8629111,2409095502.2609067,119.14124887894184,0.36960612693061023
CatBoost,221121491.596653,2552040360.321849,116.30356974079345,0.2925772425131451
Gradient Boosting,225398913.6324057,2599122864.479642,111.5668687007489,0.2662340251764176
Random Forest,232872818.38373473,2610199828.5123544,89.72620305597792,0.25996635757344866
Neural Network,1399863452.613107,31714159351.558655,143.23430089235427,-108.24721084361111
Linear Regression,12390818647.060575,269933874780.91602,1382.0763902705423,-7913.413330844729
